nohup: ignoring input
Device: cuda | Architecture: LeNet5

Training MNIST_DVS (10000 samples, 10 classes)...
Epoch 05/100 | Train Acc: 72.41% | Val Acc: 75.00%
Epoch 06/100 | Train Acc: 77.32% | Val Acc: 78.49%
Epoch 07/100 | Train Acc: 80.68% | Val Acc: 82.53%
Epoch 08/100 | Train Acc: 83.28% | Val Acc: 84.22%
Epoch 09/100 | Train Acc: 85.25% | Val Acc: 86.20%
Epoch 10/100 | Train Acc: 86.78% | Val Acc: 87.24%
Epoch 11/100 | Train Acc: 88.13% | Val Acc: 88.38%
Epoch 12/100 | Train Acc: 89.19% | Val Acc: 89.56%
Epoch 13/100 | Train Acc: 90.00% | Val Acc: 89.58%
Epoch 14/100 | Train Acc: 90.71% | Val Acc: 90.62%
Epoch 15/100 | Train Acc: 91.37% | Val Acc: 90.74%
Epoch 16/100 | Train Acc: 91.93% | Val Acc: 92.03%
Epoch 17/100 | Train Acc: 92.39% | Val Acc: 92.31%
Epoch 18/100 | Train Acc: 92.79% | Val Acc: 92.45%
Epoch 19/100 | Train Acc: 93.16% | Val Acc: 93.02%
Epoch 20/100 | Train Acc: 93.45% | Val Acc: 93.06%
Epoch 21/100 | Train Acc: 93.75% | Val Acc: 93.60%
Epoch 22/100 | Train Acc: 94.06% | Val Acc: 93.41%
Epoch 23/100 | Train Acc: 94.27% | Val Acc: 93.91%
Epoch 24/100 | Train Acc: 94.52% | Val Acc: 93.69%
Epoch 25/100 | Train Acc: 94.74% | Val Acc: 94.04%
Epoch 26/100 | Train Acc: 94.88% | Val Acc: 94.50%
Epoch 27/100 | Train Acc: 95.09% | Val Acc: 94.33%
Epoch 28/100 | Train Acc: 95.26% | Val Acc: 94.88%
Epoch 29/100 | Train Acc: 95.42% | Val Acc: 94.17%
Epoch 30/100 | Train Acc: 95.54% | Val Acc: 94.94%
Epoch 31/100 | Train Acc: 95.74% | Val Acc: 95.21%
Epoch 32/100 | Train Acc: 95.81% | Val Acc: 95.06%
Epoch 33/100 | Train Acc: 95.94% | Val Acc: 95.24%
Epoch 34/100 | Train Acc: 96.03% | Val Acc: 95.22%
Epoch 35/100 | Train Acc: 96.20% | Val Acc: 95.17%
Epoch 36/100 | Train Acc: 96.27% | Val Acc: 95.67%
Epoch 37/100 | Train Acc: 96.34% | Val Acc: 95.58%
Epoch 38/100 | Train Acc: 96.44% | Val Acc: 96.07%
Epoch 39/100 | Train Acc: 96.58% | Val Acc: 95.75%
Epoch 40/100 | Train Acc: 96.63% | Val Acc: 95.98%
Epoch 41/100 | Train Acc: 96.69% | Val Acc: 95.83%
Epoch 42/100 | Train Acc: 96.78% | Val Acc: 96.23%
Epoch 43/100 | Train Acc: 96.83% | Val Acc: 96.09%
Epoch 44/100 | Train Acc: 96.96% | Val Acc: 96.08%
Epoch 45/100 | Train Acc: 97.01% | Val Acc: 96.28%
Epoch 46/100 | Train Acc: 97.07% | Val Acc: 96.48%
